# SGH Voice compact Zhuyin candidates
# Source: Unicode Unihan 17.0.0 kHanyuPinlu + kTraditionalVariant
# Download: https://www.unicode.org/Public/UCD/latest/ucd/Unihan.zip
# License: Unicode-3.0 (see UNICODE_LICENSE.txt)
# Format: reading<TAB>candidate:corpus_count|...
ㄅㄚ	八:1123|扒:31
ㄅㄚˇ	把:5330
ㄅㄚˊ	拔:125
ㄅㄚˋ	爸:546|霸:27|垻:24|壩:24
ㄅㄚ˙	吧:2073|罷:2073|巴:207|叭:25|笆:15
ㄅㄛ	玻:213|剝:212|播:174|波:114|撥:66
ㄅㄛˇ	簸:18|跛:11
ㄅㄛˊ	伯:137|博:121|脖:73|勃:54|搏:26|駁:26|舶:17
ㄅㄛ˙	膊:45|蔔:25
ㄅㄞ	掰:12
ㄅㄞˇ	百:1559|擺:275|柏:19
ㄅㄞˊ	白:1055
ㄅㄞˋ	敗:218|拜:27
ㄅㄟ	悲:127|杯:122|碑:81|卑:13
ㄅㄟˇ	北:726
ㄅㄟˋ	被:1546|備:784|背:433|倍:219|輩:87|貝:49|狽:13
ㄅㄟ˙	唄:22
ㄅㄠ	包:706|胞:116
ㄅㄠˇ	保:852|寶:270|飽:85|堡:24
ㄅㄠˊ	薄:80|雹:15
ㄅㄠˋ	報:1019|抱:293|爆:189|暴:151|豹:15
ㄅㄢ	般:564|班:403|搬:142|扳:21|頒:21
ㄅㄢˇ	闆:430|版:73
ㄅㄢˋ	辦:1187|半:1143|伴:106|拌:37|瓣:37
ㄅㄢ˙	扮:35
ㄅㄣ	奔:135
ㄅㄣˇ	本:2326
ㄅㄣˋ	笨:35
ㄅㄤ	幫:598|邦:13|梆:10
ㄅㄤˇ	膀:182|綁:52|榜:20
ㄅㄤˋ	棒:97|傍:47|磅:17
ㄅㄥ	崩:19
ㄅㄥˇ	綳:18|繃:18
ㄅㄥˊ	甭:35
ㄅㄥˋ	蹦:28|泵:14
ㄅㄧ	逼:89
ㄅㄧˇ	比:1774|筆:308|彼:60|鄙:13
ㄅㄧˊ	鼻:190
ㄅㄧˋ	必:1102|避:166|壁:149|畢:149|閉:117|臂:66|蔽:59|幣:58|碧:39|斃:17|痹:10|痺:10
ㄅㄧㄝ	憋:19
ㄅㄧㄝˇ	癟:13
ㄅㄧㄝˊ	別:2043
ㄅㄧㄠ	標:343
ㄅㄧㄠˇ	錶:1608
ㄅㄧㄢ	邊:2050|編:215|鞭:48|蝙:15
ㄅㄧㄢˇ	扁:63|匾:23
ㄅㄧㄢˋ	變:1669|便:1235|遍:290|辯:165|辮:55|辨:49
ㄅㄧㄣ	濱:11|賓:9
ㄅㄧㄥ	兵:536|冰:167
ㄅㄧㄥˇ	餅:40|丙:30|柄:29
ㄅㄧㄥˋ	並:1420|病:739
ㄅㄨˇ	補:141|捕:103|哺:14
ㄅㄨˋ	不:23305|部:2783|步:1113|布:744|怖:32|埠:12
ㄆㄚ	啪:49|趴:43
ㄆㄚˊ	爬:330
ㄆㄚˋ	怕:866|帕:13
ㄆㄛ	坡:103|頗:55|泊:26
ㄆㄛˊ	婆:76
ㄆㄛˋ	破:605|迫:306|魄:11
ㄆㄛ˙	潑:50
ㄆㄞ	拍:222
ㄆㄞˊ	排:402|牌:73|徘:17
ㄆㄞˋ	派:650|湃:11
ㄆㄟ	呸:32
ㄆㄟˊ	培:144|陪:69|賠:24
